S.No.,Lane,Type,Entry,Exit,Time
134,1,2,891.87,895.33,3.46
135,1,3,898.23,902.67,4.44
136,1,2,899.23,903.37,4.14
137,1,3,934.9,938.73,3.83
138,2,2,943.57,947.87,4.3
139,2,1,947.97,952.03,4.06
140,2,1,953.5,958.2,4.7
141,2,7,958.97,971.9,12.93
142,1,1,959.8,966.37,6.57
143,1,3,965.23,971.67,6.44
144,2,3,971.9,976.07,4.17
145,1,3,980.47,986.67,6.2
146,1,1,986.67,992.3,5.63
147,2,6,991.1,1005.7,14.6
148,1,1,994.6,999.53,4.93
149,2,7,995.73,1009.27,13.54
150,1,2,1001.67,1004.97,3.3
151,2,6,1014.4,1028.4,14
152,2,6,1017.1,1021.77,4.67
153,1,3,1037.17,1041.13,3.96
154,1,3,1038.13,1042.6,4.47
155,1,3,1040.9,1045.4,4.5
156,2,1,1042.93,1046.47,3.54
157,2,1,1047.57,1051.93,4.36
158,1,2,1053.43,1057.67,4.24
159,1,2,1067.53,1072.57,5.04
160,1,1,1072.37,1076.4,4.03
161,1,2,1072.57,1075.97,3.4
162,1,2,1076.73,1080.2,3.47
163,2,2,1101.7,1105.6,3.9
164,2,2,1109.3,1112.77,3.47
165,2,2,1111.2,1114.47,3.27
166,2,1,1113.3,1117.27,3.97
167,2,2,1120.97,1125.47,4.5
168,1,2,1135.97,1140.43,4.46
169,1,2,1143.33,1148.67,5.34
170,1,2,1145.27,1150.87,5.6
171,1,2,1156.67,1160.5,3.83
172,1,3,1157.23,1161.33,4.1
173,1,1,1158.93,1162.13,3.2
174,1,1,1160.5,1164.37,3.87
175,2,3,1161.73,1166.43,4.7
176,1,3,1161.73,1165.63,3.9
177,1,3,1168.47,1173.37,4.9
178,1,3,1176.87,1180.53,3.66
179,1,3,1180.53,1186.97,6.44
180,1,5,1184.27,1198.27,14
181,1,2,1185.17,1189.57,4.4
182,1,3,1194.9,1198.97,4.07
183,1,2,1196.93,1201.6,4.67
184,1,1,1198.43,1203.21,4.78
185,1,3,1212.1,1215.73,3.63
186,1,3,1226.17,1230.1,3.93
187,1,2,1240.9,1244.17,3.27
188,2,2,1250.7,1254.4,3.7
189,1,2,1251.77,1256.8,5.03
190,1,2,1252.67,1257.47,4.8
191,1,6,1261.27,1266.63,5.36
192,1,2,1263.77,1268.27,4.5
193,1,1,1278.7,1282.3,3.6
194,1,1,1283,1287,4
195,1,6,1283,1295.1,12.1
196,1,2,1301.77,1305.2,3.43
197,2,2,1316.9,1320.7,3.8
198,1,3,1338.03,1342.8,4.77
199,1,3,1344.63,1348.8,4.17
200,1,3,1346.67,1351.5,4.83
201,1,3,1350.23,1355.67,5.44
202,1,3,1351.3,1356.47,5.17
203,1,3,1354.3,1358.7,4.4
204,2,3,1355.27,1363.37,8.1
205,2,3,1355.67,1363.37,7.7
206,1,3,1366.63,1370.93,4.3
207,1,3,1368.4,1373.1,4.7
208,1,3,1370.77,1375.6,4.83
209,1,3,1398.2,1401.77,3.57
210,1,2,1398.7,1404.77,6.07
211,1,2,1404.73,1408.7,3.97
212,1,1,1406.6,1411.13,4.53
213,1,1,1410.33,1414.73,4.4
214,1,3,1412.9,1417.93,5.03
215,1,3,1413.5,1418.13,4.63
216,1,1,1415,1418.5,3.5
217,1,3,1417.77,1423.03,5.26
218,1,3,1422.8,1428.5,5.7
219,1,3,1427.87,1431.8,3.93
220,1,2,1431.6,1437,5.4
221,1,2,1445.27,1450.07,4.8
222,1,2,1446.37,1449.83,3.46
223,1,2,1472.33,1477,4.67
224,2,1,1477,1481.03,4.03
225,2,4,1489.03,1493.23,4.2
226,1,2,1494.57,1501.07,6.5
227,1,2,1503.57,1508.03,4.46
228,1,2,1508.58,1512.08,3.5
229,1,2,1519.86,1524.75,4.89
230,1,2,1524.67,1528.81,4.14
231,1,2,1526.49,1530.02,3.53
232,1,5,1534.34,1549.34,15
233,2,2,1536.01,1540.3,4.29
234,1,3,1550.95,1554.75,3.8
235,1,2,1556.07,1560.82,4.75
236,1,1,1577.89,1581.09,3.2
237,1,2,1578.77,1583.61,4.84
238,2,1,1581.36,1585.04,3.68
239,1,2,1581.46,1584.74,3.28
240,1,1,1588.48,1593.91,5.43
241,1,3,1588.59,1592.04,3.45
242,1,3,1590.3,1594.31,4.01
243,1,3,1593.11,1596.71,3.6
244,1,1,1604.8,1608.01,3.21
245,1,2,1612.14,1617.37,5.23
246,1,3,1652.13,1656.37,4.24
247,1,1,1655.03,1659.62,4.59
248,1,3,1665.46,1668.87,3.41
249,1,1,1669.81,1673.12,3.31
250,2,2,1671.07,1675.74,4.67
251,1,3,1674.77,1678.79,4.02
252,1,4,1689.27,1695.03,5.76
253,1,2,1694.31,1698.12,3.81
254,2,2,1729.61,1733.54,3.93
255,1,1,1735.9,1739.43,3.53
256,1,3,1744.3,1748.88,4.58
257,2,2,1745.44,1749.22,3.78
258,1,6,1758.16,1764.9,6.74
259,1,1,1759.6,1762.82,3.22
260,1,3,1760.73,1765.83,5.1
261,1,6,1766.7,1772.01,5.31
262,1,1,1781.82,1785.57,3.75
263,1,3,1783.71,1788.66,4.95
264,1,2,1784.63,1787.92,3.29
265,2,7,1786.56,1791.11,4.55
266,1,2,1798.29,1802.19,3.9
267,2,3,1801.46,1806.09,4.63
268,1,2,1809.4,1815.39,5.99
269,2,7,1837.48,1843.24,5.76
270,1,1,1857.99,1861.94,3.95
271,1,3,1864.01,1867.44,3.43
272,1,2,1865.67,1869.45,3.78
273,1,2,1869.29,1874.21,4.92
274,1,3,1901.9,1906.01,4.11
275,1,1,1912.45,1917.41,4.96
276,1,2,1935.42,1939.53,4.11
277,1,1,1937.1,1940.61,3.51
278,2,2,1938.38,1942,3.62
279,1,2,1938.87,1942.9,4.03
280,2,7,1942.9,1950.44,7.54
281,1,3,1949.18,1952.98,3.8
282,1,3,1950.44,1954.54,4.1
283,1,7,1966.23,1978.03,11.8
284,2,2,1967.25,1971.02,3.77
285,1,1,1969.66,1979.8,10.14
286,1,2,1972.65,1976.12,3.47
287,1,1,1976.12,1981.55,5.43
288,1,1,1983.29,1987.07,3.78
289,1,2,1990.89,1995.64,4.75
290,2,7,2000.09,2006.88,6.79
291,1,3,2005.88,2009.25,3.37
292,1,3,2006.49,2010.43,3.94
293,1,3,2013.01,2017.43,4.42
294,1,3,2032.49,2036.51,4.02
295,1,3,2035.9,2039.94,4.04
296,1,3,2035.99,2040.63,4.64
297,1,3,2037.68,2041.9,4.22
298,1,3,2039.98,2043.67,3.69
299,2,2,2052.4,2055.9,3.5
300,1,1,2061.61,2067.71,6.1
301,2,3,2062.62,2067.02,4.4
302,1,1,2069.6,2073.13,3.53
303,1,3,2071.93,2075.22,3.29
304,1,2,2072.43,2076.67,4.24
305,1,3,2084.91,2089.38,4.47
306,2,2,2086.05,2090.49,4.44
307,1,3,2092.34,2096.29,3.95
308,1,3,2093.69,2097.22,3.53
309,1,3,2097.22,2101.38,4.16
310,1,2,2110.13,2114.85,4.72
311,1,1,2113.65,2117.63,3.98
312,1,7,2119.65,2134.45,14.8
313,1,2,2126.35,2130.18,3.83
314,1,2,2169.35,2175.11,5.76
315,1,2,2173.13,2176.33,3.2
316,1,2,2176.33,2181.03,4.7
317,1,2,2178.71,2182.55,3.84
318,2,1,2178.71,2182.95,4.24
319,1,2,2180.43,2184.07,3.64
320,1,2,2182.95,2188.38,5.43
321,1,1,2184.63,2188.87,4.24
322,2,1,2188.3,2193.2,4.9
323,1,2,2199.76,2207.72,7.96
324,1,3,2210.16,2214.17,4.01
325,1,1,2212.03,2216.43,4.4
326,2,2,2213.74,2217.59,3.85
327,1,5,2217.31,2231.71,14.4
328,1,2,2240.46,2246.05,5.59
329,1,2,2244.76,2251.57,6.81
330,1,3,2251.57,2255.03,3.46
331,2,2,2267.9,2272.02,4.12
332,1,3,2277.71,2282.18,4.47
333,1,3,2306.42,2309.92,3.5
334,2,2,2307.64,2312.84,5.2
335,1,3,2309.03,2312.43,3.4
336,1,6,2325.03,2330.5,5.47
337,2,3,2334.24,2341.82,7.58
338,1,3,2342.02,2345.25,3.23
339,1,1,2362.72,2366.11,3.39
340,1,1,2368.68,2373.21,4.53
341,1,3,2373.75,2380.62,6.87
342,1,2,2378.3,2381.8,3.5
343,1,3,2388.03,2391.75,3.72
344,1,3,2398.58,2403.49,4.91
345,1,3,2400.91,2404.54,3.63
346,1,3,2401.09,2404.54,3.45
347,2,2,2419.35,2422.9,3.55
348,2,1,2422.66,2426.57,3.91
349,2,2,2425.79,2429.97,4.18
350,1,3,2426.11,2430.4,4.29
351,2,3,2430.4,2434.99,4.59
352,1,2,2431.33,2434.99,3.66
353,1,2,2432.69,2436.59,3.9
354,1,2,2436.79,2440.78,3.99
355,2,2,2477.23,2480.85,3.62
356,1,1,2484.69,2492.53,7.84
357,1,3,2495.51,2500.33,4.82
358,1,2,2503.57,2507.71,4.14
359,1,3,2505.68,2511.12,5.44
360,1,3,2505.98,2509.73,3.75
361,1,4,2510.37,2515.61,5.24
362,1,1,2510.89,2515.76,4.87
363,1,3,2510.89,2515.09,4.2
364,1,3,2532.87,2536.67,3.8
365,1,1,2536.77,2540.39,3.62
366,1,2,2557.93,2562.11,4.18
367,1,2,2558.83,2563.22,4.39
368,1,3,2566.05,2572.49,6.44
369,1,2,2572.99,2579.95,6.96
370,1,2,2574.75,2578.97,4.22
371,2,2,2591.8,2596.31,4.51
372,1,1,2599.23,2603.86,4.63
373,1,3,2604.17,2609.22,5.05
374,1,3,2620.34,2626.11,5.77
375,2,3,2622.34,2626.11,3.77
376,2,3,2635.18,2639.15,3.97
377,1,1,2638.18,2643.51,5.33
378,1,3,2640.04,2644.1,4.06
379,1,6,2643.03,2648.5,5.47
380,1,2,2650.98,2655.34,4.36
381,1,1,2676.41,2680.45,4.04
382,1,1,2681.88,2685.88,4
383,2,3,2688.14,2692.79,4.65
384,1,1,2690.92,2694.69,3.77
385,2,1,2692.51,2696.98,4.47
386,1,3,2703.68,2707.24,3.56
387,1,3,2707.24,2711.66,4.42
388,2,3,2710.05,2713.92,3.87
389,1,1,2721.67,2727.07,5.4
390,1,2,2755.57,2759.72,4.15
391,2,2,2765.18,2770.64,5.46
392,2,3,2766.2,2770.64,4.44
393,2,2,2782.99,2786.46,3.47
394,1,6,2796.12,2802.68,6.56
395,1,1,2798.8,2804.64,5.84
396,1,6,2816.48,2824.56,8.08
397,1,2,2825.19,2829.67,4.48
398,1,3,2829.83,2836.26,6.43
399,1,2,2832.37,2836.06,3.69
400,1,2,2838.85,2842.2,3.35
401,1,3,2841.35,2845.54,4.19
402,1,3,2843.09,2847.78,4.69
403,1,3,2844.11,2850.09,5.98
404,2,1,2858.76,2865.3,6.54
405,1,3,2868.54,2874.86,6.32
406,2,1,2893.33,2899.48,6.15
407,1,4,2893.33,2899.06,5.73
408,1,1,2896.17,2900.87,4.7
409,1,2,2901.47,2907.36,5.89
410,1,2,2909.56,2913.89,4.33
411,1,2,2932.71,2939.13,6.42
412,1,3,2935,2939.7,4.7
413,1,6,2968,2981.2,13.2
414,1,3,2945.44,2950.52,5.08
415,1,2,2946.56,2949.83,3.27
416,2,2,2948.29,2953.96,5.67
417,1,1,2962.64,2966.04,3.4
418,1,1,2971.98,2975.88,3.9
419,1,2,2973.98,2978.23,4.25
420,1,3,2974.87,2979.64,4.77
421,1,2,2976.87,2980.49,3.62
422,1,2,2979.96,2985.96,6
423,2,2,3011.65,3017.65,6
424,1,3,3022.83,3027.43,4.6
425,2,3,3023.14,3027.13,3.99
426,1,6,3046.65,3055.9,9.25
427,2,3,3050.79,3054.5,3.71
428,2,3,3052.34,3055.97,3.63
429,1,1,3054.97,3058.63,3.66
430,1,2,3057.69,3062.03,4.34
431,1,1,3061.36,3067.88,6.52
432,2,2,3062.54,3066.15,3.61
433,1,2,3073.43,3077.95,4.52
434,2,3,3084.23,3088.53,4.3
435,2,2,3090.76,3094.69,3.93
436,1,6,3104.06,3110.16,6.1
437,1,7,3104.06,3118.96,14.9
438,1,3,3106.91,3111.46,4.55
439,1,3,3109.52,3120.63,11.11
440,2,3,3110.46,3115.15,4.69
441,2,2,3110.92,3116.49,5.57
442,2,5,3112.12,3117.93,5.81
443,1,2,3121.29,3127.37,6.08
444,1,3,3123.25,3126.65,3.4
445,1,3,3126.65,3131.99,5.34
446,1,1,3128.19,3133.57,5.38
447,1,2,3137.81,3142.4,4.59
448,1,3,3145.97,3150.16,4.19
449,1,3,3147.97,3154.1,6.13
450,1,3,3148.63,3152.62,3.99
451,1,3,3150.16,3154.16,4
452,2,7,3157.36,3169.74,12.38
453,2,1,3183.34,3186.65,3.31
454,2,7,3187.76,3200.08,12.32
455,1,6,3207.25,3220.17,12.92
456,1,2,3211.15,3223.03,11.88
457,1,3,3213.85,3221.67,7.82
458,1,3,3214.3,3220.17,5.87
459,1,2,3216.86,3225.07,8.21
460,2,4,3220.17,3224.47,4.3
461,1,6,3222.93,3227.26,4.33
462,1,1,3241.58,3246.54,4.96
463,1,3,3244.58,3249.77,5.19
464,1,1,3247.47,3251.91,4.44
465,2,2,3250.5,3255.79,5.29
466,2,3,3251.91,3256.46,4.55
467,1,1,3259.47,3262.93,3.46
468,1,3,3284.54,3290.2,5.66
469,2,2,3291.04,3296.04,5
470,1,3,3300.87,3304.33,3.46
471,1,3,3303.05,3306.56,3.51
472,2,2,3321.17,3325.05,3.88
473,1,3,3323.11,3329.52,6.41
474,2,2,3323.22,3327.55,4.33
475,1,4,3327.43,3332.49,5.06
476,1,3,3329.02,3334.79,5.77
477,1,3,3343.21,3346.46,3.25
478,1,2,3344.78,3348.52,3.74
479,1,6,3358.82,3363.53,4.71
480,1,2,3367.97,3372.71,4.74
481,1,1,3372.79,3377.08,4.29
482,1,3,3384.01,3388.2,4.19
483,1,3,3386.24,3389.99,3.75
484,2,2,3391.5,3395.3,3.8
485,1,3,3391.95,3396.03,4.08
486,1,3,3392.67,3397.22,4.55
487,1,3,3416.12,3420.18,4.06
488,1,1,3417.81,3421.94,4.13
489,2,2,3421.3,3424.81,3.51
490,2,2,3426.25,3430.14,3.89
491,2,2,3427.38,3430.98,3.6
492,1,6,3429.17,3433.36,4.19
493,1,1,3440.68,3444.96,4.28
494,1,3,3444.06,3449.28,5.22
495,2,2,3446.7,3451.03,4.33
496,2,2,3458.79,3462.19,3.4
497,1,2,3458.79,3462.9,4.11
498,1,3,3462.9,3466.55,3.65
499,1,5,3465.27,3477.96,12.69
500,1,6,3466.78,3472.15,5.37
501,1,2,3469.74,3474.68,4.94
502,1,2,3471.31,3475.93,4.62
503,1,3,3472.84,3477.13,4.29
504,1,1,3473.68,3478.29,4.61
505,1,2,3483.35,3487.05,3.7
506,1,1,3498.56,3501.96,3.4
507,1,3,3520.44,3523.78,3.34
508,1,1,3521.18,3525.53,4.35
509,1,3,3533.83,3537.24,3.41
510,1,3,3535.2,3539.25,4.05
511,1,2,3547.99,3551.65,3.66
512,1,3,3551.06,3555.74,4.68
513,1,2,3555.43,3558.91,3.48
514,1,3,3563.49,3566.73,3.24
515,2,3,3566.13,3573.68,7.55
516,1,5,3606.59,3617.39,10.8
517,1,3,3610.13,3615.76,5.63
518,1,2,3610.97,3617.76,6.79
519,1,2,3612.13,3620.41,8.28
520,1,3,3617.76,3623.69,5.93
521,1,2,3625.73,3629.82,4.09
522,2,3,3626.86,3633.68,6.82
523,1,1,3628.74,3635.06,6.32
524,2,6,3649.43,3656.41,6.98
525,1,3,3675.7,3680.45,4.75
526,1,3,3678.69,3687.58,8.89
527,1,1,3680.72,3686.34,5.62
528,2,2,3681.07,3686.75,5.68
529,1,4,3683.97,3688.77,4.8
530,2,5,3687.23,3691.65,4.42
531,1,2,3690.82,3695.69,4.87
532,1,2,3694.49,3699.08,4.59
533,2,3,3695.93,3702.06,6.13
534,2,3,3703.83,3711.03,7.2
535,1,2,3711.67,3715.97,4.3
536,1,2,3716.72,3720.48,3.76
537,1,3,3722.91,3727.67,4.76
538,1,3,3725.24,3730.97,5.73
539,1,2,3726.51,3730.31,3.8
540,2,3,3740.22,3744.94,4.72
541,1,6,3743.23,3751.89,8.66
542,1,1,3745.63,3756.67,11.04
543,1,3,3762.09,3766.11,4.02
544,1,3,3772.83,3777.83,5
545,1,5,3774.17,3784.99,10.82
546,2,2,3778.29,3783.5,5.21
547,2,2,3781.63,3787.06,5.43
548,2,1,3783.5,3789.34,5.84
549,2,2,3784.67,3790.94,6.27
550,1,2,3789.34,3795.24,5.9
551,1,2,3792.64,3798.07,5.43
552,1,3,3839.05,3846.28,7.23
553,1,3,3840.2,3845.23,5.03
554,1,2,3843.79,3847.44,3.65
555,1,3,3848.1,3855.27,7.17
556,2,2,3851.61,3854.99,3.38
557,1,2,3852.71,3858.5,5.79
558,2,3,3855.27,3859.64,4.37
559,1,2,3859.64,3864.59,4.95
560,2,6,3860.05,3867.06,7.01
561,1,2,3868.68,3873.81,5.13
562,1,5,3887.97,3899.22,11.25
563,1,3,3892.9,3900.54,7.64
564,1,2,3895.16,3898.67,3.51
565,1,5,3866.13,3878.36,12.23
566,1,4,3872.36,3882.45,10.09
567,2,2,3879.75,3885.24,5.49
568,2,1,3881.58,3886.66,5.08
569,1,1,3883.24,3889.82,6.58
570,1,1,3894.24,3905.42,11.18
571,2,2,3901.19,3906.11,4.92
572,2,3,3918.71,3925.11,6.4
573,1,3,3927.36,3932.4,5.04
574,1,2,3932.99,3938.32,5.33
575,1,1,3935.78,3941.4,5.62
576,1,3,3939.51,3946.43,6.92
577,2,1,4015.14,4022.82,7.68
578,1,4,3964.5,3972.21,7.71
579,1,2,3966.56,3971.02,4.46
580,1,4,3968.51,3974.42,5.91
581,1,2,3970.71,3974.42,3.71
582,1,3,3980.07,3986.25,6.18
583,1,5,3986.93,4000.53,13.6
584,1,2,3988.13,3995.04,6.91
585,1,5,4074.64,4085.61,10.97
586,1,2,4076.94,4083.02,6.08
587,1,1,4078.49,4086.79,8.3
588,2,1,4021.89,4029.75,7.86
589,2,3,4029.23,4036.68,7.45
590,1,1,4054.33,4060,5.67
591,1,2,4076.49,4086.02,9.53
592,1,2,4078.94,4085.02,6.08
593,1,2,4081.92,4088.46,6.54
594,1,3,4093.12,4100.01,6.89
595,1,4,4094.69,4101.44,6.75
596,1,2,4097.91,4104.31,6.4
597,1,3,4102.97,4108.58,5.61
598,1,3,4113.91,4118.37,4.46
599,1,3,4115.67,4120.37,4.7
600,1,5,4120.63,4133.12,12.49
601,2,7,4122.12,4130.27,8.15
602,2,1,4126.74,4135.14,8.4
603,1,1,4127.88,4135.9,8.02
604,1,1,4133.12,4140.07,6.95
605,1,2,4136.43,4141.75,5.32
606,1,3,4137.07,4142.86,5.79
607,1,1,4147.95,4155.87,7.92
608,1,3,4164.59,4169.98,5.39
609,1,1,4165.05,4169.3,4.25
610,1,3,4169.3,4174.54,5.24
611,2,2,4173.24,4178.56,5.32
612,1,3,4202.77,4208.63,5.86
613,1,2,4215.32,4221.53,6.21
614,1,2,4219.7,4223.8,4.1
615,2,2,4221.22,4226.14,4.92
616,2,1,4223.27,4227.92,4.65
617,2,1,4225.46,4229.44,3.98
618,2,2,4227.17,4231.39,4.22
619,2,3,4229.44,4234.62,5.18
620,1,1,4231.39,4236.81,5.42
621,1,3,4238.49,4242.64,4.15
622,1,3,4242.54,4246.78,4.24
623,1,2,4244.13,4249.15,5.02
624,1,1,4254.64,4263.72,9.08
625,1,1,4259.25,4263.99,4.74
626,1,3,4263.99,4272.76,8.77
627,1,3,4263.99,4272.76,8.77
628,2,3,4269.39,4274.06,4.67
629,1,2,4283.17,4287.15,3.98
630,1,3,4289.44,4296.38,6.94
631,1,1,4291.75,4295.93,4.18
632,1,3,4298.38,4304.34,5.96
633,1,1,4309.05,4314.48,5.43
634,1,2,4315.33,4321.57,6.24
635,2,2,4315.33,4320.74,5.41
636,1,2,4317.12,4323.11,5.99
637,1,3,4318.85,4324.57,5.72
638,2,1,4319.54,4325.26,5.72
639,1,4,4327.49,4333.75,6.26
640,1,2,4333.31,4337.64,4.33
641,1,1,4344.87,4351.69,6.82
642,1,3,4351.09,4356.09,5
643,1,2,4353.97,4359.1,5.13
644,1,1,4358.57,4362.23,3.66
645,2,2,4368.13,4373.6,5.47
646,1,1,4387.26,4391.77,4.51
647,2,3,4389.23,4394.65,5.42
648,1,2,4395.36,4399.87,4.51
649,1,5,4427.24,4441.75,14.51
650,1,2,4430.26,4442.92,12.66
651,2,1,4432.47,4436.97,4.5
652,1,4,4434.64,4444.86,10.22
653,1,2,4445.75,4452.8,7.05
654,1,3,4445.93,4453.76,7.83
655,1,3,4455.3,4461.97,6.67
656,1,3,4458.4,4463.07,4.67
657,1,3,4470.74,4475.8,5.06
658,1,1,4482.91,4490.03,7.12
659,1,2,4485.23,4489.33,4.1
660,1,3,4487.63,4491.97,4.34
661,1,5,4491.97,4506.51,14.54
662,1,2,4493.26,4501.66,8.4
663,1,2,4497.16,4502.95,5.79
664,1,3,4500.36,4508.07,7.71
665,1,2,4501.23,4509.3,8.07
666,1,6,4511.07,4517.1,6.03
667,1,1,4517.96,4525.42,7.46
668,1,5,4523.23,4537.09,13.86
669,1,3,4524.83,4530.07,5.24
670,1,4,4526.23,4530.96,4.73
671,2,3,4527.04,4533.63,6.59
672,2,1,4529.24,4535.49,6.25
673,1,1,4530.96,4539.26,8.3
674,1,3,4539.03,4547.14,8.11
675,2,3,4544.55,4551.16,6.61
676,1,4,4556.03,4565.18,9.15
677,1,4,4558.29,4563.08,4.79
678,1,1,4563.8,4568.87,5.07
679,1,6,4566.8,4574.51,7.71
680,1,3,4575.12,4579.43,4.31
681,1,3,4577.14,4580.83,3.69
682,1,3,4578.64,4582.97,4.33
683,1,2,4581.54,4585.84,4.3
684,1,3,4590.57,4594.87,4.3
685,1,2,4591.99,4597.03,5.04
686,1,3,4593.68,4597.99,4.31
687,1,3,4594.12,4599,4.88
688,1,2,4596.12,4602.12,6
689,1,3,4609.84,4615.58,5.74
690,1,3,4610.73,4620.25,9.52
691,1,3,4615.58,4620.76,5.18
692,1,2,4629.41,4635.36,5.95
693,1,1,4630.69,4634.4,3.71
694,1,2,4637.39,4643.69,6.3
695,2,1,4638.75,4645.1,6.35
696,2,3,4640.75,4646.57,5.82
697,1,5,4641.58,4652.89,11.31
698,1,2,4645.1,4653.66,8.56
699,1,3,4662.387,4668.63,6.243
700,1,2,4676.84,4683.2,6.36
701,1,1,4681.1,4687.44,6.34
702,1,2,4682.87,4689.82,6.95
703,1,2,4696.32,4704.09,7.77
704,1,1,4699.47,4707.87,8.4
705,2,2,4709.96,4715.29,5.33
706,2,3,4709.81,4716.51,6.7
707,2,3,4712.44,4718.63,6.19
708,1,1,4713.67,4719.41,5.74
709,1,5,4730.56,4742.43,11.87
710,1,2,4734.73,4739.66,4.93
711,1,1,4735.92,4744.76,8.84
712,1,2,4751.56,4759.11,7.55
713,1,6,4763.59,4770.59,7
714,1,3,4768.27,4774.71,6.44
715,1,1,4771.71,4778.35,6.64
716,1,3,4772.49,4775.8,3.31
717,1,2,4776.5,4782.95,6.45
