PCU/5min,Total PCU/Hr,SMS,Density,Flow in Veh/hr,Time Interval
65.22838533224547,782.7406239869456,31.961087371579243,24.490425337749368,3780,21000
92.02673058276429,1104.3207669931714,32.63157894736842,33.84208802075848,4980,21300
54.01755467431726,648.2106560918071,32.64148340277586,19.858492584215174,3180,21600
55.62612429645179,667.5134915574215,35.27795945062134,18.921544838548332,3480,21900
64.84934798076598,778.1921757691919,38.631512144464324,20.143973988362305,3600,22200
59.025351302479,708.304215629748,35.39193381592555,20.013153825209393,2760,22500
45.42359062905826,545.0830875486992,32.46388053912537,16.790447675895265,2700,22800
48.766359109127855,585.1963093095343,26.781115879828327,21.85108013928229,3120,23100
30.410620115086974,364.9274413810437,25.25680518010938,14.44867784261316,2160,23400
50.816892560386954,609.8027107246435,33.36662929364999,18.275825986435347,2640,23700
60.16487604150997,721.9785124981197,34.208229426433924,21.105404301931543,3540,24000
67.75307712008862,813.0369254410634,24.039131800571422,33.82139305970015,4320,24300
46.30781389542855,555.6937667451426,28.693782929399365,19.366347341248765,3660,24600
67.36196715331158,808.343605839739,30.702920812508594,26.327905764275492,3600,24900
112.05439851177518,1344.6527821413022,27.067985564208577,49.67686933893256,4980,25200
75.30361466387254,903.6433759664704,30.854096040548995,29.28763087983153,5040,25500
73.19906071739085,878.3887286086901,31.983492391024,27.463815329160404,3000,25800
40.973575174023615,491.6829020882834,35.17943743937924,13.976428785580927,2340,26100
